Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
Windfall_NDC,Central Asia,electricity_price,0.093709,0.102046,0.104612,0.117986,0.120327,0.122533,0.123673
Windfall_NDC,China,electricity_price,0.068038,0.060092,0.065737,0.07465,0.082471,0.094684,0.098317
Windfall_NDC,Colombia,electricity_price,0.106012,0.129744,0.133729,0.142573,0.119022,0.117709,0.114086
Windfall_NDC,EU-12,electricity_price,0.076364,0.058682,0.076032,0.117635,0.122646,0.121914,0.112489
Windfall_NDC,EU-15,electricity_price,0.073397,0.05114,0.039861,0.082678,0.098893,0.098365,0.086809
Windfall_NDC,Europe_Eastern,electricity_price,0.119326,0.125389,0.119927,0.109965,0.109287,0.110207,0.11023
Windfall_NDC,Europe_Non_EU,electricity_price,0.080408,0.086424,0.081344,0.078601,0.098572,0.111058,0.117969
Windfall_NDC,European Free Trade Association,electricity_price,0.094469,0.09844,0.094476,0.098775,0.100098,0.098086,0.095421
Windfall_NDC,India,electricity_price,0.069238,0.071754,0.071505,0.082698,0.084622,0.091174,0.096544
Windfall_NDC,Indonesia,electricity_price,0.059962,0.056442,0.069063,0.074294,0.077896,0.089497,0.090012
